"","state_to","state_from","flow","year","st_to","st_from"
"478","Florida","Maine",5537,2005,"FL","ME"
"479","Florida","Maryland",19832,2005,"FL","MD"
"480","Florida","Massachusetts",24999,2005,"FL","MA"
"481","Florida","Michigan",24999,2005,"FL","MI"
"482","Florida","Minnesota",11224,2005,"FL","MN"
"483","Florida","Mississippi",5514,2005,"FL","MS"
"484","Florida","Missouri",7286,2005,"FL","MO"
"485","Florida","Montana",1232,2005,"FL","MT"
"486","Florida","Nebraska",1263,2005,"FL","NE"
"487","Florida","Nevada",2840,2005,"FL","NV"
"488","Florida","New Hampshire",7186,2005,"FL","NH"
"489","Florida","New Jersey",34417,2005,"FL","NJ"
"490","Florida","New Mexico",1404,2005,"FL","NM"
"491","Florida","New York",98535,2005,"FL","NY"
"492","Florida","North Carolina",29292,2005,"FL","NC"
"493","Florida","North Dakota",439,2005,"FL","ND"
"494","Florida","Ohio",39164,2005,"FL","OH"
"495","Florida","Oklahoma",3604,2005,"FL","OK"
"496","Florida","Oregon",997,2005,"FL","OR"
"497","Florida","Pennsylvania",28311,2005,"FL","PA"
"498","Florida","Puerto Rico",11865,2005,"FL","PR"
"499","Florida","Rhode Island",6904,2005,"FL","RI"
"500","Florida","South Carolina",10906,2005,"FL","SC"
"501","Florida","South Dakota",468,2005,"FL","SD"
"502","Florida","Tennessee",12140,2005,"FL","TN"
"503","Florida","Texas",25297,2005,"FL","TX"
"504","Florida","Utah",1605,2005,"FL","UT"
"505","Florida","Vermont",1341,2005,"FL","VT"
"506","Florida","Virginia",26671,2005,"FL","VA"
"507","Florida","Washington",5337,2005,"FL","WA"
"508","Florida","West Virginia",3771,2005,"FL","WV"
"509","Florida","Wisconsin",9295,2005,"FL","WI"
"510","Florida","Wyoming",873,2005,"FL","WY"
"511","Georgia","Alabama",22111,2005,"GA","AL"
"512","Georgia","Alaska",2570,2005,"GA","AK"
