"","state_to","state_from","net_flow","year","st_to","st_from"
"19759","South Carolina","Ohio",2394,2019,"SC","OH"
"19760","Ohio","South Dakota",615,2019,"OH","SD"
"19761","Tennessee","Ohio",1351,2019,"TN","OH"
"19762","Ohio","Texas",4589,2019,"OH","TX"
"19763","Ohio","Utah",1174,2019,"OH","UT"
"19764","Ohio","Vermont",485,2019,"OH","VT"
"19765","Virginia","Ohio",159,2019,"VA","OH"
"19766","Washington","Ohio",742,2019,"WA","OH"
"19767","Ohio","West Virginia",1071,2019,"OH","WV"
"19768","Ohio","Wisconsin",2441,2019,"OH","WI"
"19769","Ohio","Wyoming",395,2019,"OH","WY"
"19770","Ohio","Puerto Rico",1649,2019,"OH","PR"
"19771","Oregon","Oklahoma",918,2019,"OR","OK"
"19772","Pennsylvania","Oklahoma",1094,2019,"PA","OK"
"19773","Oklahoma","Rhode Island",65,2019,"OK","RI"
"19774","South Carolina","Oklahoma",727,2019,"SC","OK"
"19775","Oklahoma","South Dakota",506,2019,"OK","SD"
"19776","Oklahoma","Tennessee",208,2019,"OK","TN"
"19777","Oklahoma","Texas",2848,2019,"OK","TX"
"19778","Utah","Oklahoma",620,2019,"UT","OK"
"19779","Oklahoma","Vermont",363,2019,"OK","VT"
"19780","Oklahoma","Virginia",660,2019,"OK","VA"
"19781","Oklahoma","Washington",656,2019,"OK","WA"
"19782","Oklahoma","West Virginia",99,2019,"OK","WV"
"19783","Wisconsin","Oklahoma",282,2019,"WI","OK"
"19784","Wyoming","Oklahoma",238,2019,"WY","OK"
"19785","Oklahoma","Puerto Rico",741,2019,"OK","PR"
"19786","Oregon","Pennsylvania",674,2019,"OR","PA"
"19787","Rhode Island","Oregon",325,2019,"RI","OR"
"19788","Oregon","South Carolina",158,2019,"OR","SC"
"19789","South Dakota","Oregon",954,2019,"SD","OR"
"19790","Tennessee","Oregon",340,2019,"TN","OR"
"19791","Oregon","Texas",11,2019,"OR","TX"
"19792","Oregon","Utah",811,2019,"OR","UT"
"19793","Oregon","Vermont",146,2019,"OR","VT"
"19794","Oregon","Virginia",540,2019,"OR","VA"
"19795","Washington","Oregon",12373,2019,"WA","OR"
"19796","West Virginia","Oregon",53,2019,"WV","OR"
"19797","Wisconsin","Oregon",75,2019,"WI","OR"
"19798","Oregon","Wyoming",166,2019,"OR","WY"
"19799","Puerto Rico","Oregon",131,2019,"PR","OR"
"19800","Rhode Island","Pennsylvania",688,2019,"RI","PA"
"19801","South Carolina","Pennsylvania",2485,2019,"SC","PA"
"19802","Pennsylvania","South Dakota",479,2019,"PA","SD"
"19803","Pennsylvania","Tennessee",731,2019,"PA","TN"
"19804","Pennsylvania","Texas",2138,2019,"PA","TX"
"19805","Pennsylvania","Utah",391,2019,"PA","UT"
"19806","Pennsylvania","Vermont",82,2019,"PA","VT"
"19807","Virginia","Pennsylvania",91,2019,"VA","PA"
"19808","Washington","Pennsylvania",2439,2019,"WA","PA"
"19809","West Virginia","Pennsylvania",1943,2019,"WV","PA"
"19810","Wisconsin","Pennsylvania",48,2019,"WI","PA"
"19811","Wyoming","Pennsylvania",423,2019,"WY","PA"
"19812","Pennsylvania","Puerto Rico",142,2019,"PA","PR"
"19813","South Carolina","Rhode Island",313,2019,"SC","RI"
"19814","Rhode Island","South Dakota",0,2019,"RI","SD"
"19815","Tennessee","Rhode Island",263,2019,"TN","RI"
"19816","Rhode Island","Texas",1041,2019,"RI","TX"
"19817","Utah","Rhode Island",386,2019,"UT","RI"
"19818","Rhode Island","Vermont",212,2019,"RI","VT"
"19819","Virginia","Rhode Island",235,2019,"VA","RI"
"19820","Washington","Rhode Island",229,2019,"WA","RI"
"19821","West Virginia","Rhode Island",41,2019,"WV","RI"
"19822","Wisconsin","Rhode Island",10,2019,"WI","RI"
"19823","Rhode Island","Wyoming",0,2019,"RI","WY"
"19824","Rhode Island","Puerto Rico",113,2019,"RI","PR"
"19825","South Carolina","South Dakota",385,2019,"SC","SD"
"19826","Tennessee","South Carolina",688,2019,"TN","SC"
"19827","Texas","South Carolina",1609,2019,"TX","SC"
"19828","Utah","South Carolina",747,2019,"UT","SC"
"19829","South Carolina","Vermont",79,2019,"SC","VT"
"19830","South Carolina","Virginia",422,2019,"SC","VA"
"19831","Washington","South Carolina",215,2019,"WA","SC"
"19832","West Virginia","South Carolina",1323,2019,"WV","SC"
"19833","South Carolina","Wisconsin",754,2019,"SC","WI"
"19834","Wyoming","South Carolina",509,2019,"WY","SC"
"19835","South Carolina","Puerto Rico",1102,2019,"SC","PR"
"19836","Tennessee","South Dakota",104,2019,"TN","SD"
"19837","Texas","South Dakota",838,2019,"TX","SD"
"19838","South Dakota","Utah",183,2019,"SD","UT"
"19839","South Dakota","Vermont",0,2019,"SD","VT"
"19840","Virginia","South Dakota",46,2019,"VA","SD"
"19841","South Dakota","Washington",262,2019,"SD","WA"
"19842","South Dakota","West Virginia",0,2019,"SD","WV"
"19843","Wisconsin","South Dakota",372,2019,"WI","SD"
"19844","Wyoming","South Dakota",568,2019,"WY","SD"
"19845","South Dakota","Puerto Rico",682,2019,"SD","PR"
"19846","Tennessee","Texas",5235,2019,"TN","TX"
"19847","Utah","Tennessee",382,2019,"UT","TN"
"19848","Tennessee","Vermont",273,2019,"TN","VT"
"19849","Tennessee","Virginia",2730,2019,"TN","VA"
"19850","Tennessee","Washington",706,2019,"TN","WA"
"19851","Tennessee","West Virginia",833,2019,"TN","WV"
"19852","Wisconsin","Tennessee",106,2019,"WI","TN"
"19853","Wyoming","Tennessee",70,2019,"WY","TN"
"19854","Tennessee","Puerto Rico",24,2019,"TN","PR"
"19855","Texas","Utah",5201,2019,"TX","UT"
"19856","Vermont","Texas",637,2019,"VT","TX"
"19857","Texas","Virginia",5049,2019,"TX","VA"
"19858","Washington","Texas",3400,2019,"WA","TX"
"19859","Texas","West Virginia",132,2019,"TX","WV"
"19860","Wisconsin","Texas",225,2019,"WI","TX"
"19861","Wyoming","Texas",385,2019,"WY","TX"
"19862","Texas","Puerto Rico",8543,2019,"TX","PR"
"19863","Utah","Vermont",192,2019,"UT","VT"
"19864","Virginia","Utah",814,2019,"VA","UT"
"19865","Washington","Utah",959,2019,"WA","UT"
"19866","Utah","West Virginia",322,2019,"UT","WV"
"19867","Wisconsin","Utah",261,2019,"WI","UT"
"19868","Wyoming","Utah",197,2019,"WY","UT"
"19869","Utah","Puerto Rico",96,2019,"UT","PR"
"19870","Virginia","Vermont",1106,2019,"VA","VT"
"19871","Vermont","Washington",22,2019,"VT","WA"
"19872","Vermont","West Virginia",1,2019,"VT","WV"
"19873","Vermont","Wisconsin",0,2019,"VT","WI"
"19874","Vermont","Wyoming",30,2019,"VT","WY"
"19875","Vermont","Puerto Rico",3,2019,"VT","PR"
"19876","Washington","Virginia",76,2019,"WA","VA"
"19877","West Virginia","Virginia",490,2019,"WV","VA"
"19878","Wisconsin","Virginia",360,2019,"WI","VA"
"19879","Wyoming","Virginia",248,2019,"WY","VA"
"19880","Virginia","Puerto Rico",548,2019,"VA","PR"
"19881","Washington","West Virginia",146,2019,"WA","WV"
"19882","Wisconsin","Washington",226,2019,"WI","WA"
"19883","Wyoming","Washington",259,2019,"WY","WA"
"19884","Puerto Rico","Washington",189,2019,"PR","WA"
"19885","Wisconsin","West Virginia",531,2019,"WI","WV"
"19886","Wyoming","West Virginia",308,2019,"WY","WV"
"19887","West Virginia","Puerto Rico",606,2019,"WV","PR"
"19888","Wisconsin","Wyoming",1390,2019,"WI","WY"
"19889","Puerto Rico","Wisconsin",68,2019,"PR","WI"
